id,question,reference_answer,expected_chunk_ids,expected_document_ids,expected_document_version_ids,expected_keywords,expects_abstention,category,status
eval-001,"Selon «DOC03_Rapport_Strategique», que précise le corpus sur le point suivant : sa, Lubumbashi, Goma, Bukavu, Kisangani, Mbuji-Mayi, Matadi, Kananga + Couverture 5G : pilote urbain à Kinshasa uniqueme ?","sa, Lubumbashi, Goma, Bukavu, Kisangani, Mbuji-Mayi, Matadi, Kananga + Couverture 5G : pilote urbain à Kinshasa uniquement + Fibre optique : backbone national partiel, FTTH en pilote limité à Kinshasa + Objectifs de couverture réseau (2026-2028) + ├ëtendre le pilote 5G à Lubumbashi (2026) puis Goma (2027) ÔÇö Projet Sentinelle 5G. + Achever l'extension du backbone fibre vers Kisangani et Mbuji-Mayi d'ici 2027 ÔÇö Projet Fibre Nationale. + Réduire de 30 % les zones blanches rurales et périurbaines d'ici fin 2028 ÔÇö Projet Zéro Zone Blanche. + Achever la migration vers le 5G Core standalone d'ici 2028 ÔÇö Projet C┼ôur Nouvelle Génération. + Objectifs commerciaux + Atteindre 11,5 millions d'abonnés actifs d'ici fin 2028. + Porter la part des abonnés 4G/5G data à 65 % de la base totale, contre 48 % fin 2025. + Doubler le no",[85],[16],[16],"[""Lubumbashi"", ""Bukavu"", ""Kisangani"", ""Mbuji"", ""Matadi"", ""Kananga"", ""Couverture"", ""pilote""]",False,factual,candidate_review
eval-002,"Selon «DOC03_Rapport_Strategique_V2», que précise le corpus sur le point suivant : l'objectif de la version 1.1. + Achever la migration vers le 5G Core standalone d'ici fin 2028, sans changement par rapp ?","l'objectif de la version 1.1. + Achever la migration vers le 5G Core standalone d'ici fin 2028, sans changement par rapport à l'objectif initial. + Nouvel objectif 2029 : engager une étude de faisabilité pour l'extension du pilote 5G au-delà de Kinshasa, Lubumbashi et Goma. + Objectifs commerciaux (révisés) + Objectif révisé à la hausse : atteindre 13 millions d'abonnés actifs d'ici fin 2029 (contre 11,5 millions d'ici fin 2028 dans la version 1.1). + Porter la part des abonnés 4G/5G data à 75 % de la base totale d'ici fin 2029 (objectif révisé à la hausse par rapport aux 65 % d'ici fin 2028 fixés en version 1.1). + Maintenir l'objectif de doublement des abonnés FTTH résidentiels à Kinshasa, désormais atteint avec un an de retard, ciblé pour fin 2028. + Nouvel objectif : atteindre 25 % de croissance du",[93],[17],[17],"[""objectif"", ""version"", ""Achever"", ""migration"", ""standalone"", ""changement"", ""rapport"", ""initial""]",False,factual,candidate_review
eval-003,"Selon «DOC11_Marketing_Campagne_5G_Lubumbashi», que précise le corpus sur le point suivant : tés + La Direction Marketing est responsable de la conception et de l'exécution de la campagne, en coordination étroite  ?","tés + La Direction Marketing est responsable de la conception et de l'exécution de la campagne, en coordination étroite avec la Direction Commerciale et Business pour la conversion et avec la Direction Technique et Réseaux pour la date de disponibilité réelle du service. + Risques + Risque de décalage entre la date de campagne et la date réelle de mise en service technique de la 5G à Lubumbashi. + Risque de confusion chez les abonnés entre la couverture 4G existante et la nouvelle offre 5G. + Recommandations + Ne pas fixer de date de lancement public de la campagne d'acquisition avant confirmation écrite de la Direction Technique et Réseaux sur la disponibilité effective du service 5G à Lubumbashi. + Conclusion + Ce plan de campagne accompagne l'extension géographique du Projet Sentinelle 5G tout en resta",[168],[34],[34],"[""Direction"", ""Marketing"", ""responsable"", ""conception"", ""exécution"", ""campagne"", ""coordination"", ""étroite""]",False,factual,candidate_review
eval-004,"Selon «DOC36_Finance_Suivi_FTTH_T4_2025», que précise le corpus sur le point suivant : Note de suivi Finance ÔÇö Revenus et abonnés FTTH (T4 2025) + Objectif + Présenter le suivi financier de l'activité FTTH ?","Note de suivi Finance ÔÇö Revenus et abonnés FTTH (T4 2025) + Objectif + Présenter le suivi financier de l'activité FTTH à Kinshasa pour le quatrième trimestre 2025, sur la base des comptes abonnés effectivement facturés. + Contexte + Ce suivi financier consolide les revenus et le nombre de comptes FTTH facturés à Kinshasa au titre du quatrième trimestre 2025, à des fins de reporting auprès de la Direction Générale. + Données techniques + Nombre de comptes FTTH facturés à Kinshasa au 31 décembre 2025 : 14 200 comptes actifs. + Revenu moyen par abonné FTTH sur le trimestre conforme aux prévisions budgétaires du pilote. + Taux d'impayés sur les comptes FTTH jugé ma├«trisé sur la période. + Responsabilités + La Direction Financière consolide ce suivi à partir des comptes effectivement facturés dans le système de fa",[118],[23],[23],"[""suivi"", ""Finance"", ""Revenus"", ""abonnés"", ""Objectif"", ""Présenter"", ""financier"", ""activité""]",False,factual,candidate_review
eval-005,"Selon «DOC13_RH_Formation_Techniciens», que précise le corpus sur le point suivant : Plan de formation des techniciens fibre et des ingénieurs radio + Objectif + Définir le plan de formation et de certific ?","Plan de formation des techniciens fibre et des ingénieurs radio + Objectif + Définir le plan de formation et de certification des techniciens fibre et des ingénieurs radio nécessaire à l'exécution du Projet Fibre Nationale et du Projet Sentinelle 5G. + Contexte + L'extension du backbone fibre vers de nouvelles villes et l'extension du pilote 5G nécessitent un renforcement des compétences des équipes techniques terrain, en particulier sur les technologies de soudure fibre optique et sur le paramétrage des équipements gNodeB 5G. + Description + Le plan de formation comprend un volet certification pour les techniciens fibre (soudure, mesures optiques, réflectométrie) et un volet montée en compétence pour les ingénieurs radio sur les spécificités du déploiement 5G NR par rapport au 4G/LTE existant. + Procéd",[226],[48],[48],"[""formation"", ""techniciens"", ""fibre"", ""ingénieurs"", ""radio"", ""Objectif"", ""Définir"", ""certification""]",False,factual,candidate_review
eval-006,"Selon «DOC34_Commercial_Brief_Argumentaire_5G», que précise le corpus sur le point suivant : Brief interne ÔÇö Argumentaire commercial 5G pour les équipes de vente + Objectif + Fournir aux équipes de vente un argu ?","Brief interne ÔÇö Argumentaire commercial 5G pour les équipes de vente + Objectif + Fournir aux équipes de vente un argumentaire simple à utiliser en point de vente pour répondre aux questions des abonnés sur la disponibilité de la 5G. + Description + La 5G de Bomoko Telecom est actuellement disponible uniquement à Kinshasa, dans le cadre du pilote lancé en 2024. + L'extension du réseau 5G à Lubumbashi est prévue pour 2027, dans le cadre du Projet Sentinelle 5G. + En attendant cette extension, les équipes de vente à Lubumbashi doivent orienter les abonnés intéressés par la 5G vers les offres 4G/LTE, présentées comme la meilleure alternative disponible localement. + Procédures + Cet argumentaire doit être utilisé tel quel par les équipes de vente en point de vente jusqu'à nouvelle communication de la Directi",[7],[3],[3],"[""Brief"", ""interne"", ""Argumentaire"", ""commercial"", ""équipes"", ""vente"", ""Objectif"", ""Fournir""]",False,factual,candidate_review
eval-007,"Selon «DOC12_Finance_Budget_CAPEX», que précise le corpus sur le point suivant : Rapport budgétaire CAPEX ÔÇö Déploiement fibre optique et 5G + Objectif + Présenter la répartition budgétaire des invest ?","Rapport budgétaire CAPEX ÔÇö Déploiement fibre optique et 5G + Objectif + Présenter la répartition budgétaire des investissements (CAPEX) alloués au déploiement de la fibre optique et à l'extension de la 5G pour l'exercice 2026, en cohérence avec le rapport stratégique 2026-2028 de la Direction Générale. + Contexte + L'investissement CAPEX cumulé prévu sur la période 2026-2028 est estimé à environ 180 millions USD, réparti entre les projets d'extension 5G, de fibre nationale, de réduction des zones blanches et de modernisation du c┼ôur de réseau. + Données techniques + Part CAPEX 2026 allouée au Projet Fibre Nationale : extension prioritaire vers Kisangani et Mbuji-Mayi. + Part CAPEX 2026 allouée au Projet Sentinelle 5G : extension du pilote à Lubumbashi. + Part CAPEX 2026 allouée au Projet Zéro Zone Blanche",[113],[21],[21],"[""Rapport"", ""budgétaire"", ""CAPEX"", ""Déploiement"", ""fibre"", ""optique"", ""Objectif"", ""Présenter""]",False,factual,candidate_review
eval-008,"Selon «DOC01_Company_Bible», que précise le corpus sur le point suivant : Projets internes majeurs + Projet Sentinelle 5G ÔÇö extension de la couverture 5G à Kinshasa, Lubumbashi et Goma. + Proj ?","Projets internes majeurs + Projet Sentinelle 5G ÔÇö extension de la couverture 5G à Kinshasa, Lubumbashi et Goma. + Projet Fibre Nationale ÔÇö déploiement du backbone national en fibre optique. + Projet Zéro Zone Blanche ÔÇö réduction des zones sans couverture réseau rurales et périurbaines. + Projet C┼ôur Nouvelle Génération ÔÇö modernisation du réseau c┼ôur (migration 5G Core). + Projet Radar ÔÇö intelligence artificielle pour la détection d'anomalies réseau et la maintenance prédictive. + Projet Bouclier ÔÇö renforcement de la cybersécurité du",[80],[15],[15],"[""Projets"", ""internes"", ""majeurs"", ""Projet"", ""Sentinelle"", ""extension"", ""couverture"", ""Kinshasa""]",False,factual,candidate_review
eval-009,"Selon «DOC24_Finance_Rentabilite_Infrastructures», que précise le corpus sur le point suivant : , mais nécessaire pour soutenir la migration future de trafic data et la différenciation commerciale identifiée par le M ?",", mais nécessaire pour soutenir la migration future de trafic data et la différenciation commerciale identifiée par le Marketing. + Risques + Le principal risque financier identifié reste l'allongement du délai de retour sur investissement du backbone fibre en cas de retard du Projet Fibre Nationale sur les tronçons interurbains. + Recommandations + Maintenir la priorité d'investissement sur l'achèvement du backbone fibre, dont la rentabilité conditionne indirectement celle du pilote 5G et des offres entreprises. + Conclusion + La rentabilité des nouveaux investissements (fibre, 5G) reste différée par nature et doit être appréciée sur l'horizon 2026-2028 plutôt qu'annuellement, conformément au rapport stratégique de la Direction Générale.",[117],[22],[22],"[""nécessaire"", ""soutenir"", ""migration"", ""future"", ""trafic"", ""différenciation"", ""commerciale"", ""identifiée""]",False,factual,candidate_review
eval-010,"Selon «DOC14_Juridique_Licences_Frequences», que précise le corpus sur le point suivant : ionnelles nécessaire à l'extension 5G. + Responsabilités + La Direction Juridique et Réglementation est responsable du s ?","ionnelles nécessaire à l'extension 5G. + Responsabilités + La Direction Juridique et Réglementation est responsable du suivi de la conformité réglementaire et des relations avec l'autorité de régulation ; toute extension de couverture radio doit faire l'objet d'une validation juridique préalable. + Risques + Risque de non-conformité aux obligations de couverture en cas de retard sur le Projet Zéro Zone Blanche. + Risque de délai d'attribution de fréquences additionnelles pouvant retarder l'extension du pilote 5G au-delà de Lubumbashi. + Recommandations + Engager la demande d'attribution de fréquences additionnelles pour Goma suffisamment en amont de la date prévue d'extension du pilote 5G, afin d'éviter tout retard lié au délai d'instruction réglementaire. + Conclusion + La conformité réglementaire des lice",[138],[28],[28],"[""ionnelles"", ""nécessaire"", ""extension"", ""Responsabilités"", ""Direction"", ""Juridique"", ""Réglementation"", ""responsable""]",False,factual,candidate_review
